modelo,split,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc_macro_ovr,pr_auc_macro_ovr,gap_f1_macro_train_validation,gap_accuracy_train_validation
NaiveBayes,validation,0.876,0.8700180356857727,0.8662402761280753,0.8700180356857727,0.8659307718831901,0.8863677573936584,0.876,0.8790182111784365,0.9893141115796534,0.9011377110027544,0.008139571016279712,0.007816715290887233
NaiveBayes,test,0.8750994431185362,0.8663119524600494,0.8707619017817603,0.8663119524600494,0.8653495748050761,0.8882848723768865,0.8750994431185362,0.8789868142035887,0.9904518634199112,0.9097940913224788,0.008139571016279712,0.007816715290887233
LogisticRegression_multinomial,validation,0.8928,0.8558824536226768,0.9001702746934777,0.8558824536226768,0.8680362253401327,0.8992669420007845,0.8928,0.8890673514628347,,,0.01500548849075145,0.013857515442690427
LogisticRegression_multinomial,train,0.9066575154426905,0.8720229515009823,0.911369691728066,0.8720229515009823,0.8830417138308841,0.9116354817569962,0.9066575154426905,0.9029967855766412,,,0.01500548849075145,0.013857515442690427
NaiveBayes,train,0.8838167152908872,0.8742286385158781,0.8785103662994893,0.8742286385158781,0.8740703428994698,0.8928241115024135,0.8838167152908872,0.8860773534478681,0.9909264227468696,0.9148001104619817,0.008139571016279712,0.007816715290887233
LogisticRegression_multinomial,test,0.8894192521877486,0.8544005196808331,0.8942557396612723,0.8544005196808331,0.8637171881157416,0.8945114186062314,0.8894192521877486,0.8849338067025935,,,0.01500548849075145,0.013857515442690427
RandomForestClassifier,validation,0.8896,0.857766161928621,0.8931819295761443,0.857766161928621,0.8620382815307797,0.8959324722218486,0.8896,0.883212766243561,,,0.07199636709834079,0.0544631434454359
RandomForestClassifier,train,0.9440631434454358,0.9282942064247867,0.950278199811978,0.9282942064247867,0.9340346486291204,0.9481702393862534,0.9440631434454358,0.94225373181575,,,0.07199636709834079,0.0544631434454359
RandomForestClassifier,test,0.9069212410501193,0.8898143851032189,0.901802991163738,0.8898143851032189,0.8880902428036882,0.9119461228423312,0.9069212410501193,0.9039398453078306,,,0.07199636709834079,0.0544631434454359
